Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
31/03/2025,09:10,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,-100,121.4,EUR,12140,EUR,12140,EUR,,-3.9,EUR,12136.1,EUR,aa3a0a32-26e0-4b0f-afce-6978822598c6
31/03/2025,09:07,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,MESI,-1000,19.4,EUR,19400,EUR,19400,EUR,,-3,EUR,19397,EUR,cf4caf11-f2e1-40c2-a0c1-e3becaf6b258
31/03/2025,09:05,CRH,IE0001827041,LSE,JSSI,-200,6716,GBX,1343200,GBX,16063.19,EUR,83.62,-4.9,EUR,16058.29,EUR,1a1b153e-29f2-4361-a04f-496a3ba0577a
31/03/2025,09:04,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,-100,121.4,EUR,12140,EUR,12140,EUR,,-3.9,EUR,12136.1,EUR,fd399110-c6f6-4f80-ad9b-87c6f2026fde
31/03/2025,09:03,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MESI,-2000,10.73,EUR,21460,EUR,21460,EUR,,-3,EUR,21457,EUR,bedf542c-ed1f-4ea9-bf91-fff0e96a69f3
31/03/2025,08:39,AMAZON.COM INC,US0231351067,TDG,XGAT,-100,175.12,EUR,17512,EUR,17512,EUR,,-3.9,EUR,17508.1,EUR,468e0b97-e0db-4da0-8e18-da78253ffc24
24/03/2025,14:33,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,-50,124.8,EUR,6240,EUR,6240,EUR,,-3.9,EUR,6236.1,EUR,ae6642e7-409a-4cad-b738-6bc92e85de96
24/03/2025,14:32,META PLATFORMS INC,US30303M1027,NDQ,XNAS,-10,614,USD,6140,USD,5672.61,EUR,1.08,-2,EUR,5670.61,EUR,faeaf658-ef8f-4a28-a561-ab2941a66b02
24/03/2025,09:26,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MESI,-4000,11.655,EUR,46620,EUR,46620,EUR,,-3,EUR,46617,EUR,8d6cd485-630c-4764-bcea-e5b8fc4d54f9
24/03/2025,09:24,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,"CEUX, ETFP",-1000,27.925,EUR,27925,EUR,27925,EUR,,-3,EUR,27922,EUR,c0fdc4b1-6418-44d0-b7d8-b8d0c83bdd4b
21/03/2025,13:02,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-1000,26.53,EUR,26530,EUR,26530,EUR,,-3,EUR,26527,EUR,46a4395d-0296-4061-924f-7f113f0fcdaf
21/03/2025,13:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MESI,-3000,11.535,EUR,34605,EUR,34605,EUR,,-3,EUR,34602,EUR,dd83dce9-0f0f-4d67-b7ec-076108f7f83a
