Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
04-04-2025,13:03,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"-1,300",15.3240,EUR,"19,921.20",EUR,"19,921.20",,0.00,,"19,921.20",,d8ad2b11-c3e8-4e79-aff8-aada1d18c858,
04-04-2025,13:03,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-140,15.3240,EUR,"2,145.36",EUR,"2,145.36",,0.00,-3.00,"2,142.36",,d8ad2b11-c3e8-4e79-aff8-aada1d18c858,
04-04-2025,12:40,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,-256,80.0700,EUR,"20,497.92",EUR,"20,497.92",,0.00,-3.90,"20,494.02",,db7b1c00-bd52-431b-acc8-578ae4ea23b1,
04-04-2025,09:32,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,120,60.2500,EUR,"-7,230.00",EUR,"-7,230.00",,0.00,-3.90,"-7,233.90",,127883ad-80df-4196-98e3-c1f752af0706,
04-04-2025,09:32,NOVO NORDISK A/S,DK0062498333,TDG,XGAT,-120,60.2500,EUR,"7,230.00",EUR,"7,230.00",,0.00,-3.90,"7,226.10",,3ac2bd4f-5f06-422e-8d6f-ab52c7e66f73,
02-04-2025,16:34,NETFLIX INC,US64110L1061,TDG,XGAT,-11,867.2000,EUR,"9,539.20",EUR,"9,539.20",,0.00,-3.90,"9,535.30",,069609a1-6184-404f-ba46-a55a3307e92f,
02-04-2025,16:31,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"-2,500",24.7400,EUR,"61,850.00",EUR,"61,850.00",,0.00,-3.00,"61,847.00",,6365cf8b-e5ff-49a9-9b3c-0d68967d2bcc,
02-04-2025,16:29,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"-2,500",24.6600,EUR,"61,650.00",EUR,"61,650.00",,0.00,-3.00,"61,647.00",,23014b4f-7dfe-484a-9008-8f73aa0e29e9,
02-04-2025,11:09,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,MESI,-750,11.1000,EUR,"8,325.00",EUR,"8,325.00",,0.00,,"8,325.00",,fb668d4f-6ad6-4720-bdea-8b43bcee9776,
02-04-2025,11:09,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,-750,11.1000,EUR,"8,325.00",EUR,"8,325.00",,0.00,-3.00,"8,322.00",,fb668d4f-6ad6-4720-bdea-8b43bcee9776,
